"%s and greater","%s và lớn hơn"
"<strong>%d item(s)</strong> were found using the following search criteria","Chúng tôi tìm thấy <strong>%d sản phẩm</strong> theo điều kiện tìm của bạn"
"Advanced Search","Tìm kiếm nâng cao"
"Advanced Search Form","Màn hình tìm kiếm nâng cao"
"Advanced Search Result","Kết quả tìm kiếm nâng cao"
"All","Tất cả"
"Applies for ""Like"" search type only.","Chỉ áp dụng cho kiểu tìm kiếm ""Giống như""."
"Apply Layered Navigation if Search Results are Less Than","Nếu kết quả tìm kiếm ít hơn thì áp dụng danh mục các lớp"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Chỉ số tìm kiếm liên quan đến sự thay đổi thiết lập thuộc tính. Hãy chạy <a href=""%s""> thiết lập lại quá trình tìm kiếm chỉ số</a>."
"Autogenerated Site Map","Tự động tạo sơ đồ web"
"Catalog Advanced Search","Tìm nâng cao"
"Catalog Search","Tìm kiếm"
"Catalog Search Index","Danh mục tìm kiếm"
"Don't see what you're looking for?","Bạn không nhận được kết quả mong muốn?"
"Enter ""0"" to enable layered navigation for any number of results.","Nhấn ""0"" để cho phép chuyển hướng với bất kỳ số lượng kết quả tìm kiếm nào."
"Go","Đi đến"
"Go to Home Page","Trở về trang chủ"
"Grid","Mạng lưới"
"Home","Trang chủ"
"List","Danh sách"
"Maximum Query Length","Độ dài tối đa câu truy vấn"
"Maximum Query Words Count","Số từ tối đa trong câu truy vấn"
"Maximum Search query  length is %s. Your query was cut.","Độ dài tối đa câu truy vấn là %s. Truy vấn của bạn đã bị xóa."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Số từ tối đa là %1$s. Trong câu truy vấn của bạn đã bị cắt phần tiếp theo: %2$s."
"Minimal Query Length","Độ dài tối thiểu câu truy vấn"
"Minimum Search query length is %s","Độ dài tối thiểu câu truy vấn tìm kiếm %s"
"Modify your search","Click vào đây để chỉnh lại điều kiện tìm"
"No","Không"
"No items were found using the following search criteria.","Không tìm thấy sản phẩm nào."
"Please specify at least one search term.","Hãy chỉ rõ ít nhất một từ khóa tìm kiếm."
"Popular Search Terms","Từ khóa tìm kiếm phổ biến"
"Quick Search Form","Tìm kiếm nhanh"
"Rebuild Catalog product fulltext search index","Tìm kiếm đầy đủ sản phẩm"
"Relevance","Mức độ phù hợp"
"Results","Kết quả"
"Search","Tìm kiếm"
"Search Settings","Thiết lập tìm kiếm"
"Search Terms","Từ khóa tìm kiếm"
"Search Type","Loại tìm kiếm"
"Search entire store here...","Từ khóa cần tìm"
"Search results for '%s'","Kết quả tìm theo '%s'"
"Search results for: '%s'","Kết quả tìm theo: '%s'"
"Search","Tìm kiếm:"
"Specified date is invalid.","Ngày chỉ định không hợp lệ."
"Subscribe to Feed","Theo dõi nguồn cung"
"There are no search terms available.","Từ tìm kiếm không có sẵn."
"Yes","Đồng ý"
"Your search returns no results.","Chúng tôi không tìm thấy sản phẩm theo từ khóa của bạn."
"up to %s","lên đến %s"
